year,season,state,district,crop,crop_category,crop_type,unit,sum_insured,premium_rate,farmer_share_pct,state_share_pct,goi_share_pct,farmer_share_value,state_share_value,goi_share_value,indemnity_level,insurance_company,total_subsidy,total_premium,gov_subsidy_pct,premium_to_insured_pct
2020,Rabi,CHHATTISGARH,Bastar,Mustard,Oilseeds,Agriculture,1,14000.0,25.0,1.5,11.75,11.75,210.0,1645.0,1645.0,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,3290.0,3500.0,94.0,25.0
2020,Rabi,CHHATTISGARH,Bastar,Wheat - IR,Cereals,Agriculture,1,28000.0,6.0,1.5,2.25,2.25,420.0,630.0,630.0,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,1260.0,1680.0,75.0,6.0
2022,Kharif,HARYANA,Jind,Paddy (Dhan),Cereals,Agriculture,1,92626.0,5.0,2.0,1.5,1.5,1852.52,1389.39,1389.39,90,RELIANCE GENERAL INSURANCE CO. LTD.,2778.78,4631.3,60.0,5.0
2021,Rabi,Haryana,Sirsa,Mustard,Oilseeds,Agriculture,1,45406.0,11.3944,1.5,4.9472,4.9472,681.09,2246.32563,2246.32563,90,AGRICULTURE INSURANCE COMPANY,4492.65126,5173.74126,86.83563854911446,11.39439999119059
2021,Rabi,Haryana,Sirsa,Barley (Jau),Cereals,Agriculture,1,44108.0,7.7209,1.5,3.11045,3.11045,661.62,1371.95729,1371.95729,90,AGRICULTURE INSURANCE COMPANY,2743.91458,3405.5345800000005,80.57221312960505,7.7209000181373
2022,Kharif,HARYANA,Jind,Cotton (Kapas),Fiber Crops,Horticulture & Commercial,1,89903.0,21.0,5.0,8.0,8.0,4495.15,7192.24,7192.24,90,RELIANCE GENERAL INSURANCE CO. LTD.,14384.48,18879.629999999997,76.1904761904762,20.999999999999996
2021,Rabi,Haryana,Sirsa,Bengal Gram (Chana),Pulses,Agriculture,1,33730.0,20.3733,1.5,9.43665,9.43665,505.95,3182.98205,3182.98205,90,AGRICULTURE INSURANCE COMPANY,6365.9641,6871.9141,92.63742251958593,20.373300029647197
2021,Rabi,Haryana,Sirsa,Wheat,Cereals,Agriculture,1,67460.0,5.0,1.5,1.75,1.75,1011.9,1180.55,1180.55,90,AGRICULTURE INSURANCE COMPANY,2361.1,3373.0,70.0,5.0
2021,Rabi,Haryana,Sirsa,Sunflower (Suryamukhi),Oilseeds,Agriculture,1,44108.0,21.0256,1.5,9.7628,9.7628,661.62,4306.17582,4306.17582,90,AGRICULTURE INSURANCE COMPANY,8612.35164,9273.97164,92.86583973206976,21.0255999818627
2022,Kharif,HARYANA,Jind,Maize (Makka),Millets,Agriculture,1,46314.0,11.0,2.0,4.5,4.5,926.28,2084.13,2084.13,90,RELIANCE GENERAL INSURANCE CO. LTD.,4168.26,5094.54,81.81818181818183,11.0
2022,Kharif,HARYANA,Jind,Pearl Millet (Bajra),Millets,Agriculture,1,43588.0,17.0,2.0,7.5,7.5,871.76,3269.1,3269.1,90,RELIANCE GENERAL INSURANCE CO. LTD.,6538.2,7409.959999999999,88.23529411764707,17.0
2018,Rabi,Haryana,Mahendragarh,Mustard,Oilseeds,Agriculture,1,38000.0,6.0,1.5,2.25,2.25,570.0,855.0,855.0,90,SBI GENERAL INSURANCE,1710.0,2280.0,75.0,6.0
2018,Rabi,Assam,Barpeta,Paddy - Summer,Cereals,Agriculture,1,60100.0,3.6,1.5,1.05,1.05,901.5,631.05,631.05,80,AGRICULTURE INSURANCE COMPANY,1262.1,2163.6,58.333333333333336,3.5999999999999996
2018,Rabi,Chhattisgarh,Kabeerdham,Bengal Gram (Chana),Pulses,Agriculture,1,31250.0,9.0,1.5,3.75,3.75,468.75,1171.875,1171.875,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,2343.75,2812.5,83.33333333333334,9.0
2020,Rabi,CHHATTISGARH,Janjgir - Champa,Wheat - IR,Cereals,Agriculture,1,18250.0,5.0,1.5,1.75,1.75,273.75,319.375,319.375,80,AGRICULTURE INSURANCE COMPANY,638.75,912.5,70.0,5.0
